permno,adate,qdate,public_date,npm,de_ratio,curr_ratio,ptb,TICKER
11850,2006-12-31,2006-12-31,2007-04-30,0.118,0.890,1.552,3.320,XOM
11850,2006-12-31,2007-03-31,2007-05-31,0.121,0.919,1.537,3.467,XOM
11850,2006-12-31,2007-03-31,2007-06-30,0.121,0.919,1.537,3.497,XOM
11850,2006-12-31,2007-03-31,2007-07-31,0.121,0.919,1.537,3.494,XOM
11850,2006-12-31,2007-06-30,2007-08-31,0.121,0.933,1.535,3.448,XOM
11850,2006-12-31,2007-06-30,2007-09-30,0.121,0.933,1.535,3.723,XOM
11850,2006-12-31,2007-06-30,2007-10-31,0.121,0.933,1.535,3.700,XOM
11850,2006-12-31,2007-09-30,2007-11-30,0.117,0.952,1.543,3.457,XOM
11850,2006-12-31,2007-09-30,2007-12-31,0.117,0.952,1.543,3.632,XOM
11850,2006-12-31,2007-09-30,2008-01-31,0.117,0.952,1.543,3.350,XOM
11850,2007-12-31,2007-12-31,2008-02-29,0.113,0.953,1.474,3.218,XOM
11850,2007-12-31,2007-12-31,2008-03-31,0.113,0.953,1.474,3.128,XOM
11850,2007-12-31,2007-12-31,2008-04-30,0.113,0.953,1.474,3.430,XOM
11850,2007-12-31,2008-03-31,2008-05-31,0.109,1.003,1.475,3.187,XOM
